Year,Month,ParentSKU,Net Sales calculated
2017,4,F0033,2064354
2017,4,F0034,3259633
2017,4,F0089,1263414
2017,4,F0091,336119
2017,4,F0094,3071696
2017,4,F0098,2734994
2017,4,F0099,3119965
2017,4,F0101,1134975
2017,4,F0112,637173
2017,4,F0113,644900
2017,4,F0140,981999
2017,4,F0147,1722840
2017,4,F0167,1004825
2017,4,F0168,400857
2017,4,F0193,1462763
2017,4,F0194,1285529
2017,4,F0196,733249
2017,4,F0199,659683
2017,4,F0201,968520
2017,4,F0202,1052011
2017,4,F0204,933252
2017,4,F0206,466104
2017,4,F0207,682753
2017,4,F0210,698491
2017,4,F0212,1150051
2017,4,F0214,1097448
2017,4,F0215,1904323
2017,4,F0216,1613127
2017,4,F0217,1192954
2017,4,F0218,996298
2017,4,F0232,848032
2017,4,F0233,915526
2017,4,F0306,1636608
2017,4,F0307,1459598
2017,4,F0311,2040201
2017,4,F0319,765597
2017,4,F0320,633238
2017,4,F0321,745000
2017,4,F0328,679660
2017,5,F0033,3193270
2017,5,F0034,3980599
2017,5,F0089,234938
2017,5,F0091,99404
2017,5,F0094,2352986
2017,5,F0098,2275313
2017,5,F0099,2908416
2017,5,F0101,1603740
2017,5,F0112,1053716
2017,5,F0113,869643
2017,5,F0140,427733
2017,5,F0147,906094
2017,5,F0167,1162739
2017,5,F0168,652978
2017,5,F0193,1653718
2017,5,F0194,1518857
2017,5,F0196,915652
2017,5,F0199,1016693
2017,5,F0201,1066779
2017,5,F0202,1092652
2017,5,F0204,1187512
2017,5,F0206,240004
2017,5,F0207,1049818
2017,5,F0210,846575
2017,5,F0212,1706847
2017,5,F0214,1757945
2017,5,F0215,2648223
2017,5,F0216,1587938
2017,5,F0217,1098981
2017,5,F0218,1493119
2017,5,F0232,1300518
2017,5,F0233,1292754
2017,5,F0306,2062592
2017,5,F0307,1774643
2017,5,F0311,2144523
2017,5,F0319,1007283
2017,5,F0320,562780
2017,5,F0321,700816
2017,5,F0328,1103879
2017,6,F0033,1956341
2017,6,F0034,4206700
2017,6,F0089,78097
2017,6,F0091,1009
2017,6,F0094,2136159
2017,6,F0098,2231113
2017,6,F0099,3193082
2017,6,F0101,1421953
2017,6,F0112,546865
2017,6,F0113,763465
2017,6,F0140,1139097
2017,6,F0147,1222598
2017,6,F0167,1500555
2017,6,F0168,500008
2017,6,F0193,1634252
2017,6,F0194,1642448
2017,6,F0196,997631
2017,6,F0199,885151
2017,6,F0201,947411
2017,6,F0202,1372321
2017,6,F0204,1239661
2017,6,F0206,1366093
2017,6,F0207,891746
2017,6,F0210,819572
2017,6,F0212,1567711
2017,6,F0214,1481808
